NAME OF DELIVERY POST OFFICE,POST CODE,ACCOUNT OFFICE,PROVINCE,POST CODE OF ATTACHED BRANCH OFFICE 
ABAZAI,24550,Charsadda GPO,KPK,24551
ABBA KHEL,28440,Bannu GPO,KPK,28441
ABBAS PUR,12200,Rawalakot GPO,Azad Kashmir,12201
ABBOTTABAD GPO,22010,Abbottabad GPO,KPK,22011
ABBOTTABAD PUBLIC SCHOOL,22030,Abbottabad GPO,KPK,22031
ABDUL HAKIM,58180,Khanewal GPO,Punjab,58181
ADAMJEE PAPER BOARD MILLS NOWSHERA,24170,Nowshera GPO,KPK,24171
ADDA GAMBEER,57460,Sahiwal GPO,Punjab,57461
ADDA MIR ABBAS,28300,Bannu GPO,KPK,28301
ADHI KOT,41260,Khushab GPO,Punjab,41261
ADHIAN ,39060,Qila Sheikhupura GPO,Punjab,39061
ADIL PUR,65080,Sukkur GPO,Sindh,65081
ADOWAL,50730,Gujrat GPO,Punjab,50731
ADRANA,49304,Jhelum GPO,Punjab,49305
AFZAL PUR,10360,Mirpur GPO,Azad Kashmir,10361
AGRA,66074,Khairpur GPO ,Sindh,66075
AGRICULTUR INSTITUTE NAWABSHAH,67230,Nawabshah GPO,Sindh,67231
AHAMED PUR SIAL,35090,Jhang GPO,Punjab ,35091
AHATA FAROOQIA,47066,Wah Cantt. GPO,Punjab,47067
AHDI,47750,Gujar Khan GPO,Punjab,47751
AHMAD NAGAR,52070,Gujranwala GPO,Punjab,52071
AHMAD PUR EAST,63350,Bahawalpur GPO,Punjab,63351
AHMADPUR LAMA,64380,Rahimyar Khan GPO,Punjab,64381
AHMED PUR,40120,Sargodha GPO,Punjab,40121
AHMED PUR,66040,Khairpur GPO ,Sindh,66041
AHMEDWAL,95150,Quetta GPO,Balochistan,95151
AHSAN PUR,34000,Muzaffargarh GPO,Punjab,34001
AITCHESON COLLEGE,54030,Lahore GPO,Punjab,54031
AJK BOARD OF EDUCATION MIRPUR,10240,Mirpur GPO,Azad Kashmir,10241
AJNIAN WALA,39450,Qila Sheikhupura GPO,Punjab,39451
AKAL GARH,10470,Mirpur GPO,Azad Kashmir,10471
AKBAR PURA,24320,Nowshera GPO,KPK,24321
AKHTAR ABAD,56100,Okara GPO,Punjab,56101
AKORA KHATTAK,24040,Nowshera GPO,KPK,24041
AKWAL,48060,Talagang GPO,Punjab,48061
ALAMABAD,40418,Sargodha GPO,Punjab,40419
ALFLAH ,54020,Lahore GPO,Punjab,54021
ALI PUR,34450,Muzaffargarh GPO,Punjab,34451
ALI PUR CHATHA,52080,Gujranwala GPO,Punjab,52081
ALI PUR FRASH,45600,Islamabad GPO,Federal Capital,45601
ALI SOJAL,12252,Rawalakot GPO,AJK,12253
ALI TOWN ,87340,Quetta GPO,Balochistan,87341
ALIABAD,15600,Gilgit GPO,Northern Area,15601
ALIPUR NOON,40500,Sargodha GPO,Punjab,40501
ALIZAI,26280,Kohat GPO,KPK,26281
AL-JAMIA,57470,Sahiwal GPO,Punjab,57471
ALLAH ABAD,64020,Rahimyar Khan GPO,Punjab,64021
ALLAH BAKHASH COLONY,24020,Nowshera GPO,KPK,24021
ALLIANCE TEXTILE MILLS,49610,Jhelum GPO,Punjab,49611
ALLUWALI,42010,Mianwali GPO,Punjab,42011
ALOCH,19150,Saidu Sharif GPO,KPK,19151
ALPURAI,19100,Saidu Sharif GPO,KPK,19101
ALRO LAB,43734,Attock GPO,Punjab,43735
ALTIT,15710,Gilgit GPO,Northern Area,15711
AMA KHEL,29432,Tank GPO,KPK,29433
AMAN KOT,19140,Saidu Sharif GPO,KPK,19141
AMBA DHER,24610,Charsadda GPO,KPK,24611
AMIRABAD,24502,Charsadda GPO,KPK,24503
AMMUNITION DEPOT KASHMORE,79212,Jacobabad GPO,Sindh,79213
AMRA KALAN,50340,Mandi Bahauddin GPO,Punjab,50341
ANDERLA KOTEHRA,11202,Kotli GPO,AJK,11203
ANGAH,41140,Khushab GPO,Punjab,41141
ANWAR SHAEED COLONY RENALA KHURD,56150,Okara GPO,Punjab,56151
AQIL SHAH,67040,Nawabshah GPO,Sindh,67041
ARA,48326,Chakwal GPO,Punjab,48327
ARAIN ROAD,65320,Sukkur GPO,Sindh,65321
ARANDA,17250,Chitral GPO,KPK,17251
ARIF WALA,57450,Sahiwal GPO,Punjab,57451
ARJA ,12460,Bagh GPO,Azad Kashmir,12461
AROOP,52400,Gujranwala GPO,Punjab,52401
ARRAR,48370,Chakwal GPO,Punjab,48371
ARZI BHUTTO,77280,Larkana GPO,SIndh,77281
ASHRAF SUGAR MILLS BAHAWALPUR,63274,Bahawalpur GPO,Punjab,63275
ASHRIT,17260,Chitral GPO,KPK,17261
ASIABAD,92610,Turbat GPO,Balochistan,92611
ASTANA-E-FAZAL,40184,Sargodha GPO,Punjab,40185
ASTORE,14300,Gilgit GPO,Northern Area,14301
ATHARAN HAZARI,35180,Jhang GPO,Punjab,35181
ATHMAQAM,13230,Muzaffarabad GPO,Azad Kashmir,13231
ATTOCK G.P.O.,43600,Attock GPO,Punjab,43601
ATTOCK KHURD,43560,Attock GPO,Punjab,43561
ATTOCK OIL COMPANY RAWALPINDI,46600,Rawalpindi GPO,Punjab,46601
AURANGABAD,50010,Gujrat GPO,Punjab,50011
AWAN COLONEY ,54780,Lahore GPO,Punjab ,54781
AWAN GHAMBEER,28122,Bannu GPO,KPK,28123
AWAN SHARIF,50870,Gujrat GPO,Punjab,50871
AYUB AGRICULTURAL RESEARCH INSTITUTE,38850,Faisalabad GPO,Punjab,38851
AYUB MEDICAL COLLEGE ABBOTTABAD,22040,Abbottabad GPO,KPK,22041
AYUBIA,22310,Abbottabad GPO,KPK,22311
AYUN,17210,Chitral GPO,KPK,17211
AZA KHEL BALA,24190,Nowshera GPO,KPK,24191
AZA KHEL PAYAN,24182,Nowshera GPO,KPK,24183
AZAD PATTAN,12000,Rawalakot GPO,Azad Kashmir,12001
B AL BRAHMANA,11220,Kotli GPO,Azad Kashmir,11221
B. G. PUR,50330,Mandi Bahauddin GPO,Punjab,50331
BABARLOI,65270,Sukkur GPO,Sindh,65271
BABU ZAI,23250,Mardan GPO,KPK,23251
BADAH,77010,Larkana GPO,Sindh,77011
BADANI,79192,Jacobabad GPO,Sindh,79193
BADBHER,24840,Peshawar GPO,KPK,24841
BADHBER PAF CAMP,24830,Peshawar GPO,KPK,24831
BADHO KAMBRANI,72060,Hyderabad GPO,Sindh,72061
BADHORA,22780,Haripur GPO,KPK,22781
BADIANA,51410,Sialkot GPO,Punjab,51411
BADIN ,72200,Hyderabad GPO,Sindh,72201
BADOMALI,51700,Narowal GPO,Punjab,51701
BADSHAHAN,48760,Chakwal GPO,Punjab,48761
BAFFA,21110,Mansehra GPO,KPK,21111
BAGAN,22290,Abbottabad GPO,KPK,22291
BAGARJI ,65330,Sukkur GPO,Sindh,65331
BAGH GPO,12500,Bagh GPO,Azad Kashmir,12501
BAGH JAMIRI,47390,Rawalpindi GPO,Punjab,47391
BAGHBANPURA,54920,Lahore GPO,Punjab,54921
BAGHICHA,16500,Skardu HPO,Northern Area,16501
BAGHO BAHR,64160,Rahimyar Khan GPO,Punjab,64161
BAGHPUR DHERI,22652,Haripur GPO,KPK,22653
BAGNIAL,45240,Islamabad GPO,Federal Capital,45241
BAGNOTAR,22210,Abbottabad GPO,KPK,22211
BAHADAR PUR,59300,Multan GPO,Punjab,59301
BAHADUR KHEL,27410,Karak GPO,KPK,27411
BAHALIKE,39530,Qila Sheikhupura GPO,Punjab,39531
BAHAUDDIN ZAKARIA UNIVERSITY,60800,Multan GPO,Punjab,60801
BAHAWAL NAGAR GPO,62300,Bahawal Nagar GPO,Punjab,62301
BAHAWALPUR CANTT,63080,Bahawalpur GPO,Punjab,63081
BAHAWALPUR GPO,63100,Bahawalpur GPO,Punjab,63101
BAHAWALPUR INTERMEDIATE SECONDRY BOARD,63170,Bahawalpur GPO,Punjab,63171
BAHRAIN,19010,Saidu Sharif GPO,KPK,19011
BAHRAM,77260,Larkana GPO,Sindh,77261
BAHRIA TOWN,46220,Rawalpindi GPO,Punjab,46221
BAHRIA TOWN,53720,Lahore GPO,Punjab,53721
BAHTAR,43740,Attock GPO,Punjab,43741
BAISA KALAN,50030,Gujrat GPO,Punjab,50031
BAITHAK BAZAR,12100,Rawalakot GPO,Azad Kashmir,12101
BAIZU KHARKI,23090,Mardan GPO,KPK,23091
BAKA KHEL,28142,Bannu GPO,KPK,28143
BAKHSHALI,23220,Mardan GPO,KPK,23221
BAKHSHAN KHAN,62400,Bahawal Nagar GPO,Punjab,62401
BAKKA KHEL,28480,Bannu GPO,KPK,28481
BAKRALA,49260,Jhelum GPO,Punjab,49261
BAKRANI VILLAGE,77110,Larkana GPO,Sindh,77111
BALAKOT,21230,Mansehra GPO,KPK,21231
BALDHER,22584,Haripur GPO,KPK,22585
BALELI,87100,Quetta GPO,Balochistan,87101
BALI MANG,21080,Mansehra GPO,KPK,21081
BALICHA,90350,Turbat GPO,Balochistan,90351
BALKASAR,48630,Chakwal GPO,Punjab,48631
BALLOKI,55210,Lahore GPO,Punjab,55211
BALOCH,12120,Rawalakot GPO,Azad Kashmir,12121
BALWAL,48130,Talagang GPO,Punjab,48131
BAMKHEL,23440,Sawabi GPO,KPK,23441
BAN,47230,Murree GPO,Punjab,47231
BANDA,47560,Rawalpindi GPO,Punjab,47561
BANDA DAUD SHAH,26400,Kohat GPO,KPK,26401
BANDA MOHIB,24230,Nowshera GPO,KPK,24231
BANDA SHEIKH ISMAIL,24302,Nowshera GPO,KPK,24303
BANDHI,67400,Nawabshah GPO,Sindh,67401
BANDIAL,41310,Khushab GPO,Punjab,41311
BANGIAL,49330,Jhelum GPO,Punjab,49331
BANGLA MANTHAR,64410,Rahimyar Khan GPO,Punjab,64411
BANGLA SADABAD,10050,Bhimber GPO,Azad Kashmir,10051
BANGUL DERO ,77400,Larkana GPO,Sindh,77401
BANNA,21032,Mansehra GPO,KPK,21033
BANNI,10370,Mirpur GPO,Azad Kashmir,10371
BANNU AL.MARKAZ ISLAMI,28334,Bannu GPO,KPK,28335
BANNU GPO,28100,Bannu GPO,KPK,28101
BANSAIR,21050,Mansehra GPO,KPK,21051
BARA DARWESH KHELA,19050,Saidu Sharif GPO,KPK,19051
BARA FORT,24800,Peshawar GPO,KPK,24801
BARA GRAN,49350,Jhelum GPO,Punjab,49351
BARA KAU,45400,Islamabad GPO,Federal Capital,45401
BARAGOWAH,49320,Jhelum GPO,Punjab,49321
BARAL,12030,Rawalakot GPO,Azad Kashmir,12031
